,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast
0,David de Gea,ESP,GK,31,58,58,5250.0,58.3,0.0,0.0
1,Bruno Fernandes,POR,"MF,FW",27,59,58,5156.0,57.3,14.0,13.0
2,Marcus Rashford,ENG,FW,24,56,46,4287.0,47.6,30.0,9.0
3,Casemiro,BRA,MF,30,51,43,3897.0,43.3,7.0,6.0
4,Luke Shaw,ENG,DF,27,47,40,3646.0,40.5,1.0,6.0
5,Lisandro Martínez,ARG,DF,24,45,38,3409.0,37.9,1.0,0.0
6,Diogo Dalot,POR,DF,23,42,38,3242.0,36.0,2.0,2.0
7,Antony,BRA,FW,22,44,39,3092.0,34.4,8.0,3.0
8,Christian Eriksen,DEN,MF,30,44,37,3060.0,34.0,2.0,10.0
9,Tyrell Malacia,NED,DF,22,39,29,2688.0,29.9,0.0,0.0
10,Raphaël Varane,FRA,DF,29,34,31,2666.0,29.6,0.0,0.0
11,Aaron Wan-Bissaka,ENG,DF,24,34,28,2568.0,28.5,0.0,1.0
12,Victor Lindelöf,SWE,DF,28,35,27,2514.0,27.9,0.0,0.0
13,Jadon Sancho,ENG,"FW,MF",22,41,29,2420.0,26.9,7.0,3.0
14,Fred,BRA,MF,29,56,23,2296.0,25.5,6.0,5.0
15,Scott McTominay,SCO,MF,25,39,16,1706.0,19.0,3.0,1.0
16,Wout Weghorst,NED,"FW,MF",29,31,20,1678.0,18.6,2.0,3.0
17,Harry Maguire,ENG,DF,29,31,16,1608.0,17.9,0.0,0.0
18,Anthony Martial,FRA,FW,26,29,17,1436.0,16.0,9.0,3.0
19,Alejandro Garnacho,ARG,"FW,MF",18,34,11,1217.0,13.5,5.0,4.0
20,Cristiano Ronaldo,POR,FW,37,16,10,1055.0,11.7,3.0,2.0
21,Marcel Sabitzer,AUT,MF,28,18,11,1042.0,11.6,3.0,1.0
22,Anthony Elanga,SWE,FW,20,26,7,718.0,8.0,0.0,2.0
23,Donny van de Beek,NED,MF,25,10,4,297.0,3.3,0.0,0.0
24,Facundo Pellistri,URU,"FW,MF",20,10,1,223.0,2.5,0.0,1.0
25,Martin Dúbravka,SVK,GK,33,2,2,180.0,2.0,0.0,0.0
26,Tom Heaton,ENG,GK,36,2,2,180.0,2.0,0.0,0.0
27,Kobbie Mainoo,ENG,MF,17,3,1,88.0,1.0,0.0,0.0
28,Charlie McNeill,ENG,DF,18,1,0,8.0,0.1,0.0,0.0
29,Brandon Williams,ENG,DF,21,1,0,5.0,0.1,0.0,0.0
