,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast
0,André Onana,CMR,GK,27,51,51,4650.0,51.7,0.0,0.0
1,Diogo Dalot,POR,DF,24,50,48,4364.0,48.5,3.0,5.0
2,Bruno Fernandes,POR,"MF,FW",28,48,47,4284.0,47.6,15.0,13.0
3,Alejandro Garnacho,ARG,"FW,MF",19,50,41,3560.0,39.6,10.0,5.0
4,Rasmus Højlund,DEN,FW,20,43,35,3072.0,34.1,16.0,2.0
5,Marcus Rashford,ENG,FW,25,43,35,3046.0,33.8,8.0,5.0
6,Scott McTominay,SCO,MF,26,43,27,2783.0,30.9,10.0,3.0
7,Casemiro,BRA,MF,31,32,31,2573.0,28.6,5.0,3.0
8,Aaron Wan-Bissaka,ENG,DF,25,30,26,2407.0,26.7,0.0,3.0
9,Kobbie Mainoo,ENG,MF,18,32,29,2389.0,26.5,5.0,1.0
10,Harry Maguire,ENG,DF,30,31,25,2314.0,25.7,4.0,2.0
11,Raphaël Varane,FRA,DF,30,32,25,2212.0,24.6,1.0,0.0
12,Victor Lindelöf,SWE,DF,29,28,20,1956.0,21.7,1.0,1.0
13,Antony,BRA,FW,23,38,21,1910.0,21.2,3.0,2.0
14,Jonny Evans,NIR,DF,35,30,17,1598.0,17.8,0.0,1.0
15,Sofyan Amrabat,MAR,"MF,DF",26,30,17,1547.0,17.2,0.0,0.0
16,Christian Eriksen,DEN,MF,31,28,14,1434.0,15.9,1.0,3.0
17,Luke Shaw,ENG,DF,28,15,15,1175.0,13.1,0.0,1.0
18,Lisandro Martínez,ARG,DF,25,14,11,896.0,10.0,0.0,1.0
19,Mason Mount,ENG,"MF,FW",24,20,8,759.0,8.4,1.0,1.0
20,Sergio Reguilón,ESP,DF,26,12,7,654.0,7.3,0.0,0.0
21,Anthony Martial,FRA,"FW,DF",27,19,7,635.0,7.1,2.0,1.0
22,Amad Diallo,CIV,"FW,MF",21,12,3,474.0,5.3,2.0,1.0
23,Facundo Pellistri,URU,FW,21,14,3,375.0,4.2,0.0,1.0
24,Willy Kambwala,FRA,DF,18,10,3,347.0,3.9,0.0,0.0
25,Hannibal Mejbri,TUN,"MF,FW",20,10,4,330.0,3.7,1.0,0.0
26,Omari Forson,ENG,MF,19,7,1,92.0,1.0,0.0,1.0
27,Altay Bayindir,TUR,GK,25,1,1,90.0,1.0,0.0,0.0
28,Jadon Sancho,ENG,"FW,MF",23,3,0,79.0,0.9,0.0,0.0
29,Daniel Gore,ENG,MF,18,2,0,31.0,0.3,0.0,0.0
30,Donny van de Beek,NED,DF,26,2,0,23.0,0.3,0.0,0.0
31,Ethan Wheatley,ENG,FW,17,3,0,16.0,0.2,0.0,0.0
